date,bank,useful_count,rating,sentiment,cleaned_review
"Mar 21, 2020",SBI,133,4.0,positive,state bank india locat nearbi area open save account bank custom servic good got bank statement time bank agent inform everi detail requir easi conveni money deposit
"Mar 20, 2020",SBI,89,5.0,positive,salari account sbi appli card got statement time much satisfi account net bank also function smooth conveni offer card good
"Mar 20, 2020",Axis Bank,48,5.0,positive,use axi bank save account past year transact safe alway secur use net bank well mobil bank servic use money transfer recharg onlyther difficulti face far use save account
"Mar 20, 2020",HDFC Bank,52,5.0,positive,salari bank account hdfc bank mani year got bank statement timethi bank avail area conveni deposit updat passbook issu custom support good experi
"Mar 20, 2020",IDBI,37,5.0,positive,get alert messag idbi bank whenev transact end check account balanc detail use visit branch get good respons end hold save account past year zero balanc account
"Mar 20, 2020",SBI,52,4.0,positive,use save account sbi year dont keep balanc deduct amount keep maintain amount transact emi transfer use account custom servic okay
"Mar 20, 2020",Kotak,44,5.0,positive,year use kotak bank save account realli super servic that still contact custom servic went onlin mention detail open account zero balanc account havent charg debit card fee onc lost debit card day receiv
"Mar 20, 2020",HDFC Bank,35,5.0,positive,sinc maintain save account hdfc bank salari come save account need maintain minimum balanc get offer messag loan offer never spoke custom care cash withdraw shop use get instant messag
"Mar 19, 2020",Axis Bank,29,5.0,positive,execut made open account axi use account last month atm charg atm transact much branch avail citi far didnt face fraudul issu
"Mar 19, 2020",Kotak,28,5.0,positive,came know trial charg open save account kotak app save account process done onlin maintain account year need maintain minimum balanc done much transact account
"Mar 19, 2020",SBI,43,5.0,positive,mother suggest sbi open save account sinc govt employe know benefit detail henc account past year need maintain minimum balanc k atm branch near use get detail updat bank
"Mar 19, 2020",HDFC Bank,26,5.0,positive,use hdfc save account year join previou compani made open salari account bank later resign job convert save account need maintain minimum balanc k kind high maintain amount charg final get call banker provid offer product
"Mar 19, 2020",SBI,41,4.0,positive,sbi best internet bank fast easi access one use save account year withdraw cash time charg mostli take cash atm transcat need maintain minimum balanc get immedi respons custom servic bank employe attitud must chang
"Mar 19, 2020",Axis Bank,29,4.5,positive,hold salari account axi bank past year got immedi alert messag time use mobil app net bank user friendli access need pay rupe around sm charg account servic yearli basi
"Mar 19, 2020",SBI,34,4.0,positive,use save account sbi almost year minimum amount need maintain k monthli basi get otp number time amount debit credit wont get messag end use net bank good access charg rupe yearli need pay
"Mar 19, 2020",HDFC Bank,24,4.0,positive,hdfc bank salari account past year use mobil bank servic use transact money transfer contact custom servic queri wil get good respons satisfi overal bank servic
"Mar 19, 2020",SBI,17,5.0,positive,maintain salari cum save account sbi compani suggest open account need maintain minimum balanc k hidden charg quarter basi sm charg applic rupe atm charg applic cross time month rupe
"Mar 18, 2020",IndusInd Bank,20,4.0,positive,maintain save account indusind past year need maintain minimum balanc account sinc friend work execut recommend open account henc chosen use account transact use get offer messag end
"Mar 18, 2020",Axis Bank,9,4.5,positive,axi given option maintain account hold past year yearli basi charg applic rupe reflect statement well atm branch servic good whenev provid offer use get messag
"Mar 18, 2020",SBI,15,4.0,positive,sinc year use sbi account conveni receiv offer zero balanc account atm facil near custom servic good even respons proper branch okay interest rate
"Mar 18, 2020",HDFC Bank,9,4.0,positive,hold salari account hdfc bank past month sinc salari account need maintain minimum balanc amount use atm sinc paytm servic mobil app quit easi access ever log get blank screen need chang custom servic good respond properli
"Mar 18, 2020",Kotak,17,5.0,positive,open save account kotak mahindra bank year make transact bank account provid zero balanc account find branch place take kind hidden charg
"Mar 18, 2020",HDFC Bank,9,5.0,positive,salari account maintain hdfc bank nearli year till issu friendli bank accord experi use onlin servic good custom servic good fix deposit interest rate less
"Mar 18, 2020",SBI,13,3.0,neutral,use save account sbi past year visit branch open account servic much satisfi need maintain minimum balanc k monthli basi charg applic high hidden charg use detect amount quarterli
"Mar 18, 2020",SBI,11,4.0,positive,maintain save account sbi use year save account need maintain minimum balanc rs cash withdraw shop receiv alert messag bank good app didnt interact custom servic till date rest good bank
"Mar 18, 2020",HDFC Bank,10,5.0,positive,use get salari hdfc bank compani given option bank use account past year far havent face addit hidden charg need maintain minimum balanc account atm charg applic done transact time month would suggest provid product offer
"Mar 17, 2020",Kotak,17,4.0,positive,maintain save account kotak bank year hidden charg bank visit onlin time came know bank offer zero balanc account chosen get offer messag bank end
"Mar 17, 2020",SBI,10,4.0,positive,past year maintain save account sbi branch atm servic fine whenev contact custom servic good respons use get offer messag end far hidden charg account though save account need maintain minimum balanc amount
"Mar 17, 2020",Canara Bank,23,3.0,neutral,get alert messag canara bank whenev transact end need provid better option custom check account balanc detail use visit branch get good respons end hold save account past year
"Mar 17, 2020",HDFC Bank,12,5.0,positive,maintain salari cum save account hdfc bank year need maintain minimum balanc account far hidden charg transact upto k use mobil app net bank servic good time get alert messag bank transact
"Mar 16, 2020",Canara Bank,19,4.0,positive,canara bank good app also internet bank user friendli salari cum save need maintain minimum balanc withdraw cash done shop get alert messag bank end given domest debit card
"Mar 16, 2020",Axis Bank,14,5.0,positive,maintain minimum balanc rs gst axi bank save account debit card sinc year hold account apart hidden charg bank good custom servic rate interest nomin
"Mar 16, 2020",SBI,16,5.0,positive,sbi good applic sinc use save account year need maintain minimum balanc salari come save account cash withdraw get instantli alert text get offer messag bank servic good
"Mar 16, 2020",HDFC Bank,8,5.0,positive,year use salari account hdfc bank went branch cash deposit withdraw respons good zero balanc mainten account internet bank facil mobil app user friendli dont charg hidden charg charg rs imp transact
"Mar 15, 2020",SBI,9,5.0,positive,hold account save sbi year hidden charg bank zero balanc account use mobil app net bank get alert messag bank whenev transact atm branch near reach directli
"Mar 15, 2020",Axis Bank,10,5.0,positive,hold save axi bank quit long time hidden charg bank maintain rs k minimum balanc account use mobil app internet bank user friendli access atm branch near
"Mar 15, 2020",HDFC Bank,9,5.0,positive,sinc year use hdfc bank save account salari cum save need maintain minimum balanc bank good app user friendli atm facil near servic good ever shop get instantli alert messag
"Mar 15, 2020",HDFC Bank,13,5.0,positive,use hdfc bank salari account past year net bank mobil bank servic good use check transact detail bank servic also comfort good transact safe use account much frequent
"Mar 15, 2020",HDFC Bank,15,4.5,positive,hdfc bank maintain save account salari cum save need maintain minimum balanc bank good app fine use ever withdraw cash get alert messag instantli atm servic near
"Mar 14, 2020",Citibank,8,5.0,positive,taken save account citi bank use account year branch avail near home use onlin bank facil good use deduct hidden charg need maintain minimum balanc rs l compulsori need decreas
"Mar 14, 2020",Axis Bank,11,3.0,neutral,transact axi bank year use save account keep minimum balanc monthli basi rsk put lot charg branch near resid went bank link aadhar card
"Mar 14, 2020",Axis Bank,10,5.0,positive,save account maintain axi bank salari cum save need maintain minimum balanc axi bank good applic use bank salari accountthi bank good custom servic
